strategy,currency,horizon_hours,mean_pnl_vol_points,std_pnl_vol_points,t_stat,hit_rate,n_periods,avg_trades_per_period
filtered_oos_test,BTC,1,0.010018763888697933,0.04882236129079747,0.8208340296384944,0.5625,16,10.0
filtered_oos_test,BTC,3,-0.03499740899759897,0.11639696030180038,-0.9508111238466013,0.5,10,8.0
filtered_oos_test,BTC,6,-0.08706322728632082,0.23790142360968544,-1.0978903694476627,0.4444444444444444,9,6.0
filtered_oos_test,BTC,12,-0.07975022980849303,0.31905648912639967,-0.7069836247891556,0.5,8,16.0
filtered_oos_test,BTC,24,-0.25189658031550877,0.3772033455189456,-2.1117705822800943,0.3,10,16.0
filtered_oos_test,ETH,1,0.02454975687902728,0.04095952718218671,2.397464870122228,0.75,16,18.0
filtered_oos_test,ETH,3,0.07537350990705152,0.07742500261176523,3.078488324278467,0.8,10,8.0
filtered_oos_test,ETH,6,0.12482279208304531,0.06032932074756699,6.207070983212384,1.0,9,12.0
filtered_oos_test,ETH,12,0.1994060868164923,0.19609875133661211,2.87613042381448,0.75,8,8.0
filtered_oos_test,ETH,24,0.11416215115231435,0.4125848050236776,0.8750017349887897,0.6,10,6.0
