currency,timestamp_raw,timestamp_utc,tenor,delta,market_iv,model_iv,residual,market_iv_vol_points,model_iv_vol_points,residual_vol_points,anomaly_score_vol_points
BTC,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.2,0.385461980292932,0.38601255416870117,-0.000550573875769178,38.5461980292932,38.60125732421875,-0.055057387576917804,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.3,0.389832151570554,0.3905823826789856,-0.0007502311084315871,38.9832151570554,39.0582389831543,-0.07502311084315871,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.5,0.40945304862050436,0.41139230132102966,-0.0019392527005253068,40.945304862050435,41.13922882080078,-0.19392527005253068,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.7,0.4433687073970586,0.44459983706474304,-0.0012311296676844607,44.33687073970586,44.459983825683594,-0.12311296676844607,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.8,0.47470506727078066,0.47602957487106323,-0.0013245076002825762,47.47050672707807,47.60295867919922,-0.13245076002825762,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,120.0,0.9,0.5403619321455009,0.5411614179611206,-0.0007994858156197271,54.03619321455009,54.11614227294922,-0.07994858156197271,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.1,0.40681332744855675,0.40655001997947693,0.00026330746907982094,40.68133274485567,40.65500259399414,0.026330746907982094,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.2,0.4066315931607034,0.407351553440094,-0.0007199602793905857,40.66315931607034,40.73515701293945,-0.07199602793905857,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.3,0.40845220291850487,0.40875953435897827,-0.0003073314404734018,40.84522029185049,40.875953674316406,-0.030733144047340177,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.5,0.42358226041063884,0.42400991916656494,-0.0004276587559260969,42.35822604106389,42.40099334716797,-0.04276587559260969,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.7,0.45546918600708974,0.45541617274284363,5.301326424611563e-05,45.54691860070898,45.54161834716797,0.005301326424611563,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.8,0.4869731998915001,0.48745378851890564,-0.00048058862740552044,48.69731998915001,48.74538040161133,-0.048058862740552044,0.21903783392102139
BTC,20260703_004149,2026-07-03 00:41:49+00:00,180.0,0.9,0.5548528620501811,0.5548621416091919,-9.279559010755278e-06,55.48528620501811,55.48621368408203,-0.0009279559010755278,0.21903783392102139
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.1,0.3506735674922123,0.3516715168952942,-0.0009979494030818992,35.067356749221226,35.167152404785156,-0.09979494030818992,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.2,0.3500961694807573,0.3518404960632324,-0.001744326582475142,35.00961694807573,35.184051513671875,-0.1744326582475142,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.3,0.3552831528651881,0.3553280234336853,-4.487056849722393e-05,35.528315286518804,35.53280258178711,-0.004487056849722393,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.5,0.3764610108450446,0.37269356846809387,0.0037674423769507026,37.64610108450446,37.26935577392578,0.37674423769507026,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.7,0.4097442944613043,0.40371596813201904,0.0060283263292852385,40.97442944613043,40.37159729003906,0.6028326329285238,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.8,0.4362802118854923,0.43137335777282715,0.004906854112665171,43.62802118854923,43.13733673095703,0.4906854112665171,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.9,0.4848705561846824,0.48415449261665344,0.0007160635680289462,48.48705561846824,48.41545104980469,0.07160635680289462,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,30.0,0.1,0.3582870652965247,0.3573185205459595,0.0009685447505652367,35.82870652965247,35.73185348510742,0.09685447505652367,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,30.0,0.2,0.3579770727075229,0.35823702812194824,-0.0002599554144253613,35.79770727075229,35.82370376586914,-0.02599554144253613,0.19536191811633116
BTC,20260703_025200,2026-07-03 02:52:00+00:00,30.0,0.3,0.3621227271249913,0.36436596512794495,-0.0022432380029536736,36.21227271249913,36.43659591674805,-0.22432380029536736,0.19536191811633116
