currency,horizon_hours,timestamp_utc,mean_pnl_vol_points,sum_pnl_vol_points,n_trades,avg_abs_residual
BTC,1,2026-07-03 02:52:00+00:00,0.012052278722457267,0.0723136723347436,6,0.2793435370733279
BTC,1,2026-07-03 03:52:01+00:00,0.1673024699630912,1.0038148197785473,6,0.31311900860123515
BTC,1,2026-07-03 04:52:02+00:00,0.09924840598566576,0.5954904359139945,6,0.17820570285290346
BTC,1,2026-07-03 05:52:02+00:00,0.05566916871029192,0.3340150122617515,6,0.22171594006003456
BTC,1,2026-07-03 06:52:03+00:00,-0.015149343333957213,-0.09089606000374328,6,0.25659209358861085
BTC,1,2026-07-03 17:44:37+00:00,0.04566078513641023,0.2739647108184614,6,0.20257298129641074
BTC,1,2026-07-03 18:44:37+00:00,0.05992127434995235,0.3595276460997141,6,0.2051155151928182
BTC,1,2026-07-04 15:09:52+00:00,0.16319787051155288,0.9791872230693173,6,0.1444916810911199
BTC,1,2026-07-04 16:26:06+00:00,0.2406471120585619,1.4438826723513714,6,0.18463998665298367
BTC,1,2026-07-04 17:42:11+00:00,0.18572506536356428,1.1143503921813858,6,0.2706477744167592
BTC,1,2026-07-04 18:43:40+00:00,0.1486597175711471,0.8919583054268826,6,0.14696662759367815
BTC,1,2026-07-05 16:16:52+00:00,0.033318983314321315,0.1999138998859279,6,0.15694363264395492
BTC,1,2026-07-05 17:29:17+00:00,0.2294081270709185,1.376448762425511,6,0.1620666817650662
BTC,1,2026-07-05 18:37:27+00:00,0.06061864062873684,0.36371184377242105,6,0.1326932452558604
BTC,1,2026-07-06 00:12:36+00:00,0.07429820275117531,0.44578921650705183,6,0.23451240672414664
BTC,1,2026-07-06 01:29:43+00:00,0.08017752781267144,0.4810651668760287,6,0.15154768040001684
BTC,1,2026-07-06 04:25:32+00:00,-0.00254742448300267,-0.015284546898016019,6,0.1606776323869102
BTC,1,2026-07-06 12:32:42+00:00,-0.25471084039527864,-1.5282650423716717,6,0.14053388595388253
BTC,1,2026-07-06 13:32:43+00:00,0.7595202956327919,4.5571217737967515,6,0.561652935253092
BTC,1,2026-07-06 14:32:43+00:00,-0.4190147607134165,-2.514088564280499,6,0.11333978267382877
BTC,1,2026-07-06 15:32:44+00:00,-0.28803633060059514,-1.728217983603571,6,0.14423588063642392
BTC,1,2026-07-06 16:32:45+00:00,0.051011926188691596,0.30607155713214956,6,0.08874932563992978
BTC,1,2026-07-06 17:34:05+00:00,0.15670037141316703,0.9402022284790021,6,0.12267913378409727
BTC,1,2026-07-06 18:34:06+00:00,-0.02429848413120324,-0.14579090478721946,6,0.07753624568313147
BTC,1,2026-07-06 19:34:06+00:00,0.08680610556147644,0.5208366333688587,6,0.178992962280373
BTC,1,2026-07-06 20:34:07+00:00,0.03353793365344634,0.20122760192067804,6,0.16723637311083964
BTC,1,2026-07-07 00:35:25+00:00,-0.058249156281585605,-0.3494949376895136,6,0.2537073324329009
BTC,1,2026-07-07 01:54:15+00:00,0.2868053669801481,1.7208322018808886,6,0.16339162975252763
