currency,scheme,method,rmse_vol_points
BTC,put_wing,row_mean,9.794511207772986
BTC,put_wing,quadratic_smile,1.6432740465648064
BTC,put_wing,previous_surface,0.3661130729340661
BTC,put_wing,cell_mean,1.3200158198671712
BTC,put_wing,row_mean,9.867608761974997
BTC,put_wing,quadratic_smile,1.5417011163665097
BTC,put_wing,previous_surface,0.1417525692920354
BTC,put_wing,cell_mean,0.5178741499592394
BTC,put_wing,row_mean,10.338683506670339
BTC,put_wing,quadratic_smile,1.6036329569927832
BTC,put_wing,previous_surface,0.9185286340944716
BTC,put_wing,cell_mean,0.3037982457382393
BTC,put_wing,row_mean,10.558149089122352
BTC,put_wing,quadratic_smile,1.592247335491798
BTC,put_wing,previous_surface,0.506359812788715
BTC,put_wing,cell_mean,0.7101946360629471
BTC,put_wing,row_mean,10.79126453867176
BTC,put_wing,quadratic_smile,1.6653750362801243
BTC,put_wing,previous_surface,0.5317160388409956
BTC,put_wing,cell_mean,0.7094555911462952
BTC,put_wing,row_mean,10.84675497524054
BTC,put_wing,quadratic_smile,1.737868325128186
BTC,put_wing,previous_surface,0.10131283925186836
BTC,put_wing,cell_mean,0.9399457312698069
BTC,put_wing,row_mean,10.974911466685553
BTC,put_wing,quadratic_smile,1.7046156351101651
BTC,put_wing,previous_surface,0.2849260655809755
BTC,put_wing,cell_mean,0.9879265514848165
BTC,put_wing,row_mean,10.943776059510489
BTC,put_wing,quadratic_smile,1.7957299182226418
BTC,put_wing,previous_surface,0.06908790004437465
BTC,put_wing,cell_mean,0.9406401361020826
BTC,put_wing,row_mean,10.849685927221492
BTC,put_wing,quadratic_smile,1.825343722806225
BTC,put_wing,previous_surface,0.13258909442087807
BTC,put_wing,cell_mean,1.4501329513969408
BTC,put_wing,row_mean,10.940858170471202
BTC,put_wing,quadratic_smile,1.6749254500937165
BTC,put_wing,previous_surface,0.5854115080794406
BTC,put_wing,cell_mean,0.5047628279672232
BTC,put_wing,row_mean,10.517518940802374
BTC,put_wing,quadratic_smile,1.6241602235546597
BTC,put_wing,previous_surface,1.031976702960604
BTC,call_wing,cell_mean,0.7608531056162732
BTC,call_wing,row_mean,5.787182843650884
BTC,call_wing,quadratic_smile,1.7698096142753168
BTC,call_wing,previous_surface,0.26431400867321997
BTC,call_wing,cell_mean,0.7756682561273079
BTC,call_wing,row_mean,5.887223982414282
BTC,call_wing,quadratic_smile,1.6923801366987063
BTC,call_wing,previous_surface,0.09535831843707801
BTC,call_wing,cell_mean,0.4784061154376837
BTC,call_wing,row_mean,6.209866783661424
BTC,call_wing,quadratic_smile,1.781830525899311
BTC,call_wing,previous_surface,0.32996104393383396
BTC,call_wing,cell_mean,0.28531316830058284
BTC,call_wing,row_mean,6.397832568005104
BTC,call_wing,quadratic_smile,1.7337878518964924
BTC,call_wing,previous_surface,0.23063984693371167
BTC,call_wing,cell_mean,0.1352671821948428
BTC,call_wing,row_mean,6.473074552841646
BTC,call_wing,quadratic_smile,1.7684177162255323
BTC,call_wing,previous_surface,0.24799767592029853
BTC,call_wing,cell_mean,0.14178341372230382
BTC,call_wing,row_mean,6.513013827065133
BTC,call_wing,quadratic_smile,1.8179566422980626
BTC,call_wing,previous_surface,0.06982727358164445
BTC,call_wing,cell_mean,0.12167060849273563
BTC,call_wing,row_mean,6.618134665253236
BTC,call_wing,quadratic_smile,1.7664378493491906
BTC,call_wing,previous_surface,0.12031846801806263
BTC,call_wing,cell_mean,0.18742029955837597
BTC,call_wing,row_mean,6.582575637168075
BTC,call_wing,quadratic_smile,1.8382036571244382
BTC,call_wing,previous_surface,0.14357775388790608
BTC,call_wing,cell_mean,0.29499784100154514
BTC,call_wing,row_mean,6.521851114901378
BTC,call_wing,quadratic_smile,1.9573570823206259
BTC,call_wing,previous_surface,0.1338749814452789
BTC,call_wing,cell_mean,0.5120444715426546
BTC,call_wing,row_mean,6.7811754195518725
BTC,call_wing,quadratic_smile,1.7946644854719176
BTC,call_wing,previous_surface,0.26966172609675454
BTC,call_wing,cell_mean,0.22782686128595156
BTC,call_wing,row_mean,6.396136813224894
BTC,call_wing,quadratic_smile,1.7140333868435078
BTC,call_wing,previous_surface,0.33577274041540395
ETH,row_random,cell_mean,1.6782477849455146
ETH,row_random,row_mean,1.6782477849455146
ETH,row_random,quadratic_smile,1.6782477849455146
ETH,row_random,previous_surface,0.9858693381345001
ETH,row_random,cell_mean,0.23115907787292045
ETH,row_random,row_mean,0.23115907787292045
ETH,row_random,quadratic_smile,0.23115907787292045
ETH,row_random,previous_surface,0.0904647018128543
ETH,row_random,cell_mean,0.24541294306148223
ETH,row_random,row_mean,0.24541294306148223
ETH,row_random,quadratic_smile,0.24541294306148223
ETH,row_random,previous_surface,0.17659758662581526
ETH,row_random,cell_mean,0.180419937430871
ETH,row_random,row_mean,0.180419937430871
ETH,row_random,quadratic_smile,0.180419937430871
ETH,row_random,previous_surface,0.37992444863783287
ETH,row_random,cell_mean,0.2785174798373099
ETH,row_random,row_mean,0.2785174798373099
ETH,row_random,quadratic_smile,0.2785174798373099
ETH,row_random,previous_surface,0.11294368472532924
ETH,row_random,cell_mean,0.16344964127799871
ETH,row_random,row_mean,0.16344964127799871
ETH,row_random,quadratic_smile,0.16344964127799871
ETH,row_random,previous_surface,0.09327253461971259
ETH,row_random,cell_mean,0.8587906288461726
ETH,row_random,row_mean,0.8587906288461726
ETH,row_random,quadratic_smile,0.8587906288461726
ETH,row_random,previous_surface,0.199843822161769
ETH,row_random,cell_mean,0.2631545317502458
ETH,row_random,row_mean,0.2631545317502458
ETH,row_random,quadratic_smile,0.2631545317502458
ETH,row_random,previous_surface,0.04111306764977722
