currency,mask_rate,method,rmse_vol_points
BTC,0.1,convvae,0.18781313730641022
BTC,0.1,convvae,0.09314169436385321
BTC,0.1,convvae,0.18993676243179589
BTC,0.1,convvae,0.1689538744697951
BTC,0.1,convvae,0.1473097799408902
BTC,0.1,convvae,0.25710823829303137
BTC,0.1,convvae,0.3007021177932777
BTC,0.1,convvae,0.2160105584830781
BTC,0.1,convvae,0.6139820803457844
BTC,0.1,convvae,0.18861180647423947
BTC,0.1,convvae,0.4334879378671435
BTC,0.3,convvae,0.18614659134202932
BTC,0.3,convvae,0.14809758054394587
BTC,0.3,convvae,0.20592033278438018
BTC,0.3,convvae,0.13976597219181242
BTC,0.3,convvae,0.1891859974613186
BTC,0.3,convvae,0.15473273350511987
BTC,0.3,convvae,0.2497598927286247
BTC,0.3,convvae,0.24514741188787792
BTC,0.3,convvae,0.1690141506904858
BTC,0.3,convvae,0.181617579571251
BTC,0.3,convvae,0.26015552696654365
BTC,0.5,convvae,0.17773481548239706
BTC,0.5,convvae,0.1464169052469133
BTC,0.5,convvae,0.2227621449819292
BTC,0.5,convvae,0.15536843732485361
BTC,0.5,convvae,0.16476713391533274
BTC,0.5,convvae,0.2771493553610234
BTC,0.5,convvae,0.20035963583615973
BTC,0.5,convvae,0.20662042414452453
BTC,0.5,convvae,0.1754888404735604
BTC,0.5,convvae,0.17100323909166004
BTC,0.5,convvae,0.3155830340222341
ETH,0.1,convvae,0.05680006249248322
ETH,0.1,convvae,0.18560481589900588
ETH,0.1,convvae,0.9177137926636423
ETH,0.1,convvae,0.30096139237934694
ETH,0.1,convvae,0.03543609964167056
ETH,0.1,convvae,0.1265361244426925
ETH,0.1,convvae,0.07651584895067451
ETH,0.1,convvae,0.06556199257955816
ETH,0.1,convvae,0.06758508610047649
ETH,0.1,convvae,0.2641592143686966
ETH,0.1,convvae,0.23780523655550007
ETH,0.3,convvae,0.1941960512217981
ETH,0.3,convvae,0.14950524698274034
ETH,0.3,convvae,0.2218835883719664
ETH,0.3,convvae,0.23683649222415293
ETH,0.3,convvae,0.16223620221920018
ETH,0.3,convvae,0.2813234511997323
ETH,0.3,convvae,0.14052542554579733
ETH,0.3,convvae,0.12679947176926953
ETH,0.3,convvae,0.2575207060538801
ETH,0.3,convvae,0.2024097504488391
ETH,0.3,convvae,0.1636189808887204
ETH,0.5,convvae,0.7403751259009956
ETH,0.5,convvae,0.589624370545845
ETH,0.5,convvae,0.2696543133079339
ETH,0.5,convvae,0.3701345982830753
ETH,0.5,convvae,0.1630126593070876
ETH,0.5,convvae,0.23551132908940245
ETH,0.5,convvae,0.24040781148649318
ETH,0.5,convvae,0.18986449167732197
ETH,0.5,convvae,0.30045081707844473
ETH,0.5,convvae,0.2311580951647621
ETH,0.5,convvae,0.24438229841053366
