currency,horizon_hours,delta,alpha,beta_on_residual,beta_t_stat,r2,n
BTC,1,0.1,-0.07641328663893016,-0.10072813647820646,-0.8549384881323921,0.0036053692211552857,204
BTC,1,0.2,-0.06745172243338862,0.017328237468551194,0.11323659912743336,6.347382914384525e-05,204
BTC,1,0.3,-0.05722589290344282,-0.03924724884450065,-0.242856728968526,0.000291891956413326,204
BTC,1,0.5,-0.05633128659877047,-0.23869161313905746,-1.4704384424729635,0.010590546767920261,204
BTC,1,0.7,-0.041022498226265636,-0.5954334443462311,-4.071439151702149,0.0758389301256247,204
BTC,1,0.8,-0.03769305895769859,-0.5702398049975583,-4.331301165914669,0.08497986664764745,204
BTC,1,0.9,-0.0013593514004965749,-0.5990549269148119,-4.528151497183148,0.09215178876547425,204
BTC,3,0.1,-0.15046556550720425,0.4676752557572372,2.09946782387787,0.02586598761967651,168
BTC,3,0.2,-0.14235214389681447,0.6667102055295923,2.071259301774045,0.025192977835428176,168
BTC,3,0.3,-0.1152550615914129,0.5176609031348818,1.6031065346934237,0.01524560310432066,168
BTC,3,0.5,-0.12821172885583804,-0.18811025078183496,-0.6113604787715694,0.0022465179084173448,168
BTC,3,0.7,-0.10090755376323124,-1.0392870621425114,-3.8850091174163706,0.08334541470570467,168
BTC,3,0.8,-0.09906243202853345,-1.096195140379847,-4.528845236110708,0.10996938972224102,168
BTC,3,0.9,0.0038968248125956263,-1.1384903624512355,-4.532606435339411,0.11013199946474195,168
BTC,6,0.1,-0.29013947395440287,1.29984924690911,3.546926370426977,0.11174817856013963,102
BTC,6,0.2,-0.3289245262027707,0.7094599622543155,1.204080292486189,0.014290902664400695,102
BTC,6,0.3,-0.29024396156883014,1.0474994935123463,1.9657157974192687,0.037202853349900034,102
BTC,6,0.5,-0.3280801517971411,0.2991859289223217,0.5126020298536025,0.0026207221784634305,102
BTC,6,0.7,-0.31913115535044095,-0.7026805747246813,-1.3071472684391736,0.016799301244185938,102
BTC,6,0.8,-0.3814173841530005,-0.30407527892236036,-0.6181225998566096,0.0038062128758145075,102
BTC,6,0.9,-0.3797168996377954,-0.7892309473236785,-1.619865410920013,0.025568725359180533,102
BTC,12,0.1,-0.0855004918567885,0.9092463138546838,1.9738879742320232,0.027850883692861594,138
BTC,12,0.2,-0.09327771872841707,-0.8666215399525946,-1.3778438618215305,0.013767041301168681,138
BTC,12,0.3,-0.10877162149786503,-0.9728168908687683,-1.569657330546793,0.01779399168501261,138
BTC,12,0.5,-0.17701309367972232,-2.2947445082431717,-3.6907481787740393,0.09104046545009936,138
BTC,12,0.7,-0.16153176721998277,-2.844903551758473,-5.433896638794805,0.1783829295206717,138
BTC,12,0.8,-0.20832403145552586,-2.8576832007636708,-5.796632754699315,0.19811770533547068,138
BTC,12,0.9,-0.06986750206611893,-2.2145729050781426,-4.237406267173717,0.11662849866028413,138
BTC,24,0.1,-0.042808385201424895,-0.07547418107521121,-0.3052894160227123,0.000435332027486135,216
BTC,24,0.2,-0.06410881420078705,-0.6937473310377166,-1.8276480173372112,0.015368973527472019,216
BTC,24,0.3,-0.10091506164882648,-0.4164548179390186,-1.1572109530658263,0.00621873574572096,216
BTC,24,0.5,-0.13075817729767683,-0.8012508262552859,-2.2565657479002685,0.023241774718699038,216
BTC,24,0.7,-0.13540316862710858,-1.4108319227673976,-3.7758563720140845,0.06246067212305262,216
BTC,24,0.8,-0.1419407238788802,-0.80957529879506,-2.1353411587116984,0.02086241078500317,216
BTC,24,0.9,-0.02509952519298925,-1.0527637105651177,-2.7044454969937273,0.03304817862972409,216
ETH,1,0.1,-0.09117351207925019,-0.21276878910963035,-2.435879372325503,0.02853560431197444,204
ETH,1,0.2,-0.06681923041456785,-0.42830517778366634,-2.845515587067817,0.038539153524502656,204
ETH,1,0.3,-0.05721162822382937,-0.42113424128667815,-2.8100545018873286,0.037620493092942575,204
ETH,1,0.5,-0.04613889575175503,-0.5916857393122608,-3.688305077173452,0.06309539682676013,204
ETH,1,0.7,-0.04692862097462075,-0.21661936321250538,-1.0428807340907609,0.005355325604959993,204
ETH,1,0.8,-0.036618938768194324,-0.2670124569927163,-1.4553384985611515,0.010376400122093954,204
ETH,1,0.9,-0.02154423495863145,-0.9839200217888989,-6.95262277040697,0.19309404630210036,204
ETH,3,0.1,-0.17470481709774355,-0.2069877324329094,-1.2013340205256826,0.008619062460098248,168
ETH,3,0.2,-0.13400443386187164,-0.27097841960736113,-0.8599189597700991,0.004434826732881203,168
ETH,3,0.3,-0.11659809048150703,-0.10935608562361415,-0.32515021076039036,0.0006364781288975552,168
ETH,3,0.5,-0.10889214480869064,-0.9718627664469599,-2.6454639856827153,0.040453995385964725,168
ETH,3,0.7,-0.1051473604108314,0.12562421956183822,0.27766296840018856,0.00046422249389921344,168
ETH,3,0.8,-0.09279235527126524,0.6577729205862174,2.0093092337299954,0.023743749380149115,168
ETH,3,0.9,-0.12181501264507985,-0.6264781433479705,-2.4510875775384107,0.034927655920309,168
ETH,6,0.1,-0.15241444514740968,-1.1309397303150837,-3.1343671094006655,0.08945434669050034,102
ETH,6,0.2,-0.1450671958447635,-0.734091183090809,-1.464441068916515,0.020995607244476466,102
ETH,6,0.3,-0.13230168498615483,-0.9882688763905054,-1.913421194318266,0.035318724360589804,102
ETH,6,0.5,-0.11217901499996553,-2.0566839835579334,-2.8854613467938863,0.07685962608099006,102
ETH,6,0.7,-0.08820610338027542,1.4333632617408072,1.8560168741601977,0.03330083950619933,102
ETH,6,0.8,-0.12140323917407883,1.1528286363859217,1.9000071862932777,0.03484245108087658,102
ETH,6,0.9,-0.1667444654510758,-1.0575108493244143,-2.2878264351539426,0.049738129756041194,102
ETH,12,0.1,-0.06751254171574592,-0.28935262515491106,-0.9293893618680836,0.006311126897368791,138
ETH,12,0.2,-0.1354439396183214,-2.1359235799142633,-2.7960111596183315,0.05435825756212587,138
ETH,12,0.3,-0.10546945861972515,-1.4288158381558231,-1.7063449701527975,0.02096018533649535,138
ETH,12,0.5,-0.1628697060035203,-1.0078850533918862,-1.2410313009035134,0.011197883618090154,138
ETH,12,0.7,-0.24904161494886698,-0.006011216619289149,-0.00636199095613571,2.9760968311975944e-07,138
ETH,12,0.8,-0.30427172704318944,0.27689650607545424,0.3079613413735382,0.0006968683577548429,138
ETH,12,0.9,-0.3822134697422189,0.18456414281833794,0.3136849643709938,0.0007229934968573382,138
ETH,24,0.1,0.08387156065618699,-1.4375680649855307,-5.407209359017984,0.12020294322279812,216
ETH,24,0.2,0.04521292720085259,0.3066625675624764,0.6465885601610267,0.0019498205209026453,216
ETH,24,0.3,0.015518503321780822,0.16183904414563235,0.30978711766847494,0.00044824785419261826,216
ETH,24,0.5,-0.056930679301817465,2.4411001695992542,3.7929595501787206,0.06299207481274327,216
ETH,24,0.7,-0.1468683948086614,2.5219083102811446,3.61190419818886,0.057459107160963696,216
ETH,24,0.8,-0.24224997977248747,0.7164805535577035,1.1271519668627454,0.005901745591102681,216
ETH,24,0.9,-0.34295616892196384,-0.7712578756136448,-1.6652706669928368,0.012792759141656562,216
