strategy,currency,horizon_hours,mean_pnl_vol_points,std_pnl_vol_points,t_stat,hit_rate,n_periods,avg_trades_per_period
filtered_full_sample_test,BTC,1,0.011474796287963603,0.061529789941113494,0.7459668754887965,0.625,16,8.0
filtered_oos_test,BTC,1,0.010018763888697933,0.04882236129079747,0.8208340296384944,0.5625,16,10.0
unfiltered_test,BTC,1,0.010478700274380854,0.05563154519459034,0.7534358600127333,0.5,16,18.0
filtered_full_sample_test,BTC,3,-0.03499740899759897,0.11639696030180038,-0.9508111238466013,0.5,10,8.0
filtered_oos_test,BTC,3,-0.03499740899759897,0.11639696030180038,-0.9508111238466013,0.5,10,8.0
unfiltered_test,BTC,3,0.0093326751740964,0.10485518031407844,0.28145972496783334,0.5,10,18.0
filtered_full_sample_test,BTC,6,-0.09095749649635643,0.3359504258477717,-0.8122403440938493,0.4444444444444444,9,4.0
filtered_oos_test,BTC,6,-0.08706322728632082,0.23790142360968544,-1.0978903694476627,0.4444444444444444,9,6.0
unfiltered_test,BTC,6,-0.06831112073654062,0.290610050371316,-0.7051833271002708,0.5555555555555556,9,18.0
filtered_full_sample_test,BTC,12,-0.07975022980849303,0.31905648912639967,-0.7069836247891556,0.5,8,16.0
filtered_oos_test,BTC,12,-0.07975022980849303,0.31905648912639967,-0.7069836247891556,0.5,8,16.0
unfiltered_test,BTC,12,-0.080722132923642,0.36462907116252985,-0.6261614566295143,0.625,8,18.0
filtered_full_sample_test,BTC,24,-0.10108423024897586,0.39276472934285184,-0.813862292692323,0.4,10,10.0
filtered_oos_test,BTC,24,-0.25189658031550877,0.3772033455189456,-2.1117705822800943,0.3,10,16.0
unfiltered_test,BTC,24,-0.25675623855190033,0.3923642546488408,-2.0693386506581875,0.3,10,18.0
filtered_full_sample_test,ETH,1,0.031178590229071403,0.0436275682252048,2.85861362413124,0.8125,16,16.0
filtered_oos_test,ETH,1,0.02454975687902728,0.04095952718218671,2.397464870122228,0.75,16,18.0
unfiltered_test,ETH,1,0.02454975687902728,0.04095952718218671,2.397464870122228,0.75,16,18.0
filtered_full_sample_test,ETH,3,0.08215408892436304,0.05322295811610944,4.881240150730474,1.0,10,12.0
filtered_oos_test,ETH,3,0.07537350990705152,0.07742500261176523,3.078488324278467,0.8,10,8.0
unfiltered_test,ETH,3,0.06843611694435697,0.03712596950825713,5.829181207340011,1.0,10,18.0
filtered_full_sample_test,ETH,6,0.12482279208304531,0.06032932074756699,6.207070983212384,1.0,9,12.0
filtered_oos_test,ETH,6,0.12482279208304531,0.06032932074756699,6.207070983212384,1.0,9,12.0
unfiltered_test,ETH,6,0.08094061289439292,0.050842150614638364,4.775994637277716,1.0,9,18.0
filtered_full_sample_test,ETH,12,0.18737632576377877,0.05903596787668692,8.977243897018203,1.0,8,16.0
filtered_oos_test,ETH,12,0.1994060868164923,0.19609875133661211,2.87613042381448,0.75,8,8.0
unfiltered_test,ETH,12,0.16425956342845055,0.06406633483654553,7.2517993402515675,1.0,8,18.0
filtered_full_sample_test,ETH,24,0.11416215115231435,0.4125848050236776,0.8750017349887897,0.6,10,6.0
filtered_oos_test,ETH,24,0.11416215115231435,0.4125848050236776,0.8750017349887897,0.6,10,6.0
unfiltered_test,ETH,24,0.13685135240228646,0.11274085943348713,3.838554865025613,0.9,10,18.0
