currency,horizon_hours,timestamp_utc,mean_pnl_vol_points,sum_pnl_vol_points,n_trades,avg_abs_residual
BTC,1,2026-07-03 02:52:00+00:00,-0.05531891690805716,-0.9957405043450289,18,0.25993768236055037
BTC,1,2026-07-03 03:52:01+00:00,-0.07733209886437466,-1.3919777795587438,18,0.29827199109562824
BTC,1,2026-07-03 04:52:02+00:00,-0.0725086336756758,-1.3051554061621644,18,0.17311247030655352
BTC,1,2026-07-03 05:52:02+00:00,0.04613879110288915,0.8304982398520047,18,0.109024059136003
BTC,1,2026-07-03 06:52:03+00:00,0.07990090556232271,1.4382163001218087,18,0.10792006380670734
BTC,1,2026-07-03 17:44:37+00:00,0.03805629030239445,0.6850132254431001,18,0.11734383896833858
BTC,1,2026-07-03 18:44:37+00:00,0.09510325120349505,1.711858521662911,18,0.15479382154741123
BTC,1,2026-07-04 15:09:52+00:00,0.11508351476450723,2.0715032657611303,18,0.15963844769248267
BTC,1,2026-07-04 16:26:06+00:00,0.09583554871525972,1.7250398768746749,18,0.20899821531235746
BTC,1,2026-07-04 17:42:11+00:00,0.1401026143883174,2.5218470589897133,18,0.15479895734819646
BTC,1,2026-07-04 18:43:40+00:00,0.08330141736630457,1.4994255125934823,18,0.12056475780696824
BTC,1,2026-07-05 16:16:52+00:00,-0.0717508607465685,-1.291515493438233,18,0.15922984873206228
BTC,1,2026-07-05 17:29:17+00:00,0.08632263674905455,1.553807461482982,18,0.17981846625536738
BTC,1,2026-07-05 18:37:27+00:00,0.04000656832780198,0.7201182299004356,18,0.12817397817654952
BTC,1,2026-07-06 00:12:36+00:00,-0.003018893916005382,-0.054340090488096876,18,0.21999194839838535
BTC,1,2026-07-06 01:29:43+00:00,0.12693477953222004,2.2848260315799607,18,0.2539012935508498
BTC,1,2026-07-06 04:25:32+00:00,0.020220536283261467,0.3639696530987064,18,0.11985692931893777
BTC,1,2026-07-06 12:32:42+00:00,-0.14501087841932878,-2.610195811547918,18,0.20839035270891265
BTC,1,2026-07-06 13:32:43+00:00,0.5529108507083538,9.952395312750369,18,0.7328094652463567
BTC,1,2026-07-06 14:32:43+00:00,-0.09585644888039092,-1.7254160798470366,18,0.14658612596903559
BTC,1,2026-07-06 15:32:44+00:00,-0.0870412856994369,-1.5667431425898641,18,0.11883454908528468
BTC,1,2026-07-06 16:32:45+00:00,0.022007041153522186,0.3961267407633994,18,0.16033354746804263
BTC,1,2026-07-06 17:34:05+00:00,0.0885695562806027,1.5942520130508486,18,0.16979482672340784
BTC,1,2026-07-06 18:34:06+00:00,0.051011999061028476,0.9182159830985126,18,0.09927885268025093
BTC,1,2026-07-06 19:34:06+00:00,0.11610600436357009,2.0899080785442616,18,0.12486150207474306
BTC,1,2026-07-06 20:34:07+00:00,-0.04253626414721585,-0.7656527546498852,18,0.16951510470972914
BTC,1,2026-07-07 00:35:25+00:00,-0.12554484914736877,-2.259807284652638,18,0.31101548397137807
BTC,1,2026-07-07 01:54:15+00:00,-0.2190275057510639,-3.94249510351915,18,0.19039072023934758
BTC,1,2026-07-07 01:55:16+00:00,-0.2031138311482701,-3.656048960668862,18,0.18965535707474845
BTC,1,2026-07-07 02:55:44+00:00,-0.015547455966907051,-0.2798542074043269,18,0.15660687586281574
BTC,1,2026-07-07 03:55:45+00:00,0.02204153436781674,0.39674761862070135,18,0.16781898874874968
BTC,1,2026-07-07 04:55:46+00:00,0.04226844038839969,0.7608319269911945,18,0.1776426984799483
BTC,1,2026-07-07 16:16:06+00:00,0.013129130588087963,0.23632435058558332,18,0.22500224223523066
BTC,1,2026-07-07 17:32:11+00:00,0.032779463829236424,0.5900303489262556,18,0.1925726441961243
BTC,1,2026-07-07 18:32:12+00:00,-0.004502686393287947,-0.08104835507918305,18,0.22148574925367048
BTC,1,2026-07-08 00:33:32+00:00,-0.07046295842789184,-1.2683332517020531,18,0.3175070971693438
BTC,1,2026-07-08 01:43:58+00:00,0.007387628269704696,0.13297730885468453,18,0.23853722954879636
BTC,1,2026-07-08 02:43:58+00:00,0.018703629234036272,0.3366653262126529,18,0.21742785280580862
BTC,1,2026-07-08 03:43:59+00:00,0.0242390708880337,0.4363032759846066,18,0.2555237367568793
BTC,1,2026-07-08 04:44:00+00:00,0.039878161966345964,0.7178069153942274,18,0.3436996591656993
BTC,1,2026-07-08 05:46:09+00:00,-0.0058712068147003214,-0.10568172266460579,18,0.30641214719758686
BTC,3,2026-07-02 21:54:21+00:00,-0.11040049722801962,-1.987208950104353,18,0.1712424018281906
BTC,3,2026-07-03 00:41:49+00:00,-0.06109287943047389,-1.09967182974853,18,0.2674190236948386
BTC,3,2026-07-03 02:52:00+00:00,-0.13322885724012756,-2.3981194303222964,18,0.25993768236055037
BTC,3,2026-07-03 03:52:01+00:00,-0.14147752020622187,-2.546595363711994,18,0.29827199109562824
BTC,3,2026-07-03 04:52:02+00:00,-0.17105131746639302,-3.0789237143950743,18,0.17311247030655352
BTC,3,2026-07-03 15:10:15+00:00,0.3186669907537222,5.736005833566999,18,0.16973664343655706
