currency,mask_rate,method,mean_rmse,median_rmse,n
BTC,0.1,previous_surface,0.3085923312439267,0.15753620304290977,11
BTC,0.1,cell_mean,0.596735333674735,0.39163019752452166,11
BTC,0.1,quadratic_smile,0.856558534818176,0.7653055882041055,11
BTC,0.1,row_mean,5.9029313094242895,6.500360230445337,11
BTC,0.3,previous_surface,0.29932662491546513,0.2991171536079766,11
BTC,0.3,cell_mean,0.650646506909236,0.6524077572764284,11
BTC,0.3,quadratic_smile,0.9985908830111009,0.88101477872582,11
BTC,0.3,row_mean,6.472378381107211,6.335283073387206,11
BTC,0.5,previous_surface,0.2948248787365126,0.28130527939636146,11
BTC,0.5,cell_mean,0.6024771519936511,0.5080417218360009,11
BTC,0.5,quadratic_smile,1.0775436595611525,0.9263928840944955,11
BTC,0.5,row_mean,6.446692057072499,6.676581048173408,11
ETH,0.1,previous_surface,0.2542318694375867,0.23445740640307058,11
ETH,0.1,cell_mean,0.5069443342880884,0.5560208369737696,11
ETH,0.1,quadratic_smile,1.4084372236906908,1.3605984174915133,11
ETH,0.1,row_mean,4.485788316648269,5.310707111566055,11
ETH,0.3,previous_surface,0.22975123519216203,0.15599527341195196,11
ETH,0.3,cell_mean,0.4659056312521202,0.3753716569828828,11
ETH,0.3,quadratic_smile,1.4946639130138812,1.242035560134808,11
ETH,0.3,row_mean,4.948937698652862,4.910026415679362,11
ETH,0.5,previous_surface,0.26403494414106754,0.1638638463595819,11
ETH,0.5,cell_mean,0.5607841068360705,0.48963224867117855,11
ETH,0.5,quadratic_smile,1.5373295293258153,1.3960187842574527,11
ETH,0.5,row_mean,4.9687320173,4.968115286019371,11
