currency,horizon_hours,timestamp_utc,mean_pnl_vol_points,sum_pnl_vol_points,n_trades,avg_abs_residual
BTC,1,2026-07-07 18:32:12+00:00,0.012737903936943693,0.12737903936943692,10,0.2141789268509608
BTC,1,2026-07-08 00:33:32+00:00,0.003560883514887081,0.03560883514887081,10,0.11081496493136274
BTC,1,2026-07-08 01:43:58+00:00,0.026591447543744807,0.26591447543744806,10,0.11101020171456973
BTC,1,2026-07-08 02:43:58+00:00,0.04809930599503358,0.48099305995033576,10,0.12933991448456467
BTC,1,2026-07-08 03:43:59+00:00,-0.004157066642601859,-0.04157066642601859,10,0.09207007533824747
BTC,1,2026-07-08 04:44:00+00:00,-0.0008611596869990114,-0.008611596869990114,10,0.23649445712340844
BTC,1,2026-07-08 05:46:09+00:00,0.023256254247503695,0.23256254247503697,10,0.2846110732580087
BTC,1,2026-07-08 19:26:25+00:00,0.044213122847789776,0.44213122847789776,10,0.36865343341237533
BTC,1,2026-07-08 20:26:26+00:00,0.11274939972804247,1.1274939972804248,10,0.33353030385643023
BTC,1,2026-07-09 15:48:20+00:00,-0.020313475823228087,-0.2031347582322809,10,0.6479074770210846
BTC,1,2026-07-09 16:48:21+00:00,0.06816071123479689,0.6816071123479689,10,0.6113139206028746
BTC,1,2026-07-09 17:48:22+00:00,-0.06371814327525271,-0.6371814327525271,10,1.0751744919394564
BTC,1,2026-07-09 18:48:23+00:00,-0.06037291892667156,-0.6037291892667156,10,1.2537904935339435
BTC,1,2026-07-09 19:48:23+00:00,-0.01631737836340007,-0.1631737836340007,10,1.1059751991736415
BTC,1,2026-07-09 20:48:24+00:00,-0.06060955478210274,-0.6060955478210274,10,1.0582724871847242
BTC,1,2026-07-10 03:42:22+00:00,0.04728089067068098,0.4728089067068098,10,1.1891977945962675
BTC,3,2026-07-08 00:33:32+00:00,-0.026520892023548903,-0.21216713618839123,8,0.12444481143583024
BTC,3,2026-07-08 01:43:58+00:00,0.07721152887910687,0.617692231032855,8,0.12947714993665133
