currency,mask_rate,method,mean_rmse,median_rmse,n
BTC,0.1,convvae,0.25427799888811814,0.18993676243179589,11
BTC,0.3,convvae,0.1935948881521263,0.18614659134202932,11
BTC,0.5,convvae,0.2012049059891444,0.17773481548239706,11
ETH,0.1,convvae,0.2122436060067043,0.1265361244426925,11
ETH,0.3,convvae,0.19425957881146336,0.1941960512217981,11
ETH,0.5,convvae,0.32496144638653596,0.24438229841053366,11
