currency,timestamp_raw,timestamp_utc,tenor,delta,market_iv,model_iv,residual,market_iv_vol_points,model_iv_vol_points,residual_vol_points,anomaly_score_vol_points,horizon_hours,future_timestamp_utc,actual_gap_hours,future_market_iv,future_market_iv_vol_points,future_iv_change,future_iv_change_vol_points
BTC,20260703_025200,2026-07-03 02:52:00+00:00,14.0,0.1,0.3506735674922123,0.3516715168952942,-0.0009979494030818,35.067356749221226,35.167152404785156,-0.0997949403081899,0.1953619181163311,1,2026-07-03 03:52:01+00:00,1.0002777777777778,0.350707026346101,35.07070263461011,3.3458853888723716e-05,0.0033458853888816975
BTC,20260703_035201,2026-07-03 03:52:01+00:00,14.0,0.1,0.350707026346101,0.3513850569725036,-0.0006780306264025,35.07070263461011,35.13850402832031,-0.0678030626402592,0.2217058395815171,1,2026-07-03 04:52:02+00:00,1.0002777777777778,0.3460221203062418,34.60221203062419,-0.004684906039859216,-0.46849060398592
BTC,20260703_045202,2026-07-03 04:52:02+00:00,14.0,0.1,0.3460221203062418,0.3491148650646209,-0.0030927447583791,34.60221203062419,34.9114875793457,-0.3092744758379118,0.1624224152634397,1,2026-07-03 05:52:02+00:00,1.0,0.3429966637579329,34.299666375793294,-0.0030254565483088802,-0.3025456548308938
BTC,20260703_055202,2026-07-03 05:52:02+00:00,14.0,0.1,0.3429966637579329,0.3444090783596039,-0.0014124146016709,34.299666375793294,34.4409065246582,-0.1412414601670963,0.1702583676056578,1,2026-07-03 06:52:03+00:00,1.0002777777777778,0.3428588490080274,34.28588490080274,-0.00013781474990554043,-0.013781474990551601
BTC,20260703_065203,2026-07-03 06:52:03+00:00,14.0,0.1,0.3428588490080274,0.3443088233470917,-0.0014499743390642,34.28588490080274,34.43088150024414,-0.1449974339064241,0.185724306248962,1,2026-07-03 07:54:52+00:00,1.0469444444444445,0.3361102628913233,33.61102628913233,-0.006748586116704092,-0.674858611670409
BTC,20260703_174437,2026-07-03 17:44:37+00:00,14.0,0.1,0.3395252706208247,0.3396185934543609,-9.332283353619132e-05,33.952527062082474,33.96186065673828,-0.0093322833536191,0.1098683091970557,1,2026-07-03 18:44:37+00:00,1.0,0.3409239679956471,34.09239679956471,0.0013986973748223996,0.1398697374822362
BTC,20260703_184437,2026-07-03 18:44:37+00:00,14.0,0.1,0.3409239679956471,0.3393925726413727,0.0015313953542744,34.09239679956471,33.93925857543945,0.1531395354274434,0.1345735935815124,1,2026-07-03 19:44:38+00:00,1.0002777777777778,0.3386510801438242,33.86510801438242,-0.002272887851822891,-0.22728878518228868
BTC,20260704_150952,2026-07-04 15:09:52+00:00,14.0,0.1,0.3332827424833638,0.3359019756317138,-0.00261923314835,33.328274248336385,33.5901985168457,-0.2619233148350053,0.1108560765608729,1,2026-07-04 16:26:06+00:00,1.2705555555555557,0.3379276494237854,33.79276494237854,0.004644906940421578,0.46449069404215493
BTC,20260704_162606,2026-07-04 16:26:06+00:00,14.0,0.1,0.3379276494237854,0.3386156857013702,-0.0006880362775848,33.79276494237854,33.861568450927734,-0.0688036277584847,0.1323974964570624,1,2026-07-04 17:42:11+00:00,1.2680555555555555,0.3325812978240091,33.25812978240091,-0.005346351599776311,-0.5346351599776327
BTC,20260704_174211,2026-07-04 17:42:11+00:00,14.0,0.1,0.3325812978240091,0.3346863985061645,-0.0021051006821554,33.25812978240091,33.4686393737793,-0.2105100682155469,0.1631992080534453,1,2026-07-04 18:43:40+00:00,1.0247222222222223,0.3344349038378263,33.44349038378264,0.0018536060138172328,0.18536060138173127
BTC,20260704_184340,2026-07-04 18:43:40+00:00,14.0,0.1,0.3344349038378263,0.3364255726337433,-0.0019906687959169,33.44349038378264,33.64255905151367,-0.1990668795916916,0.1048079995343763,1,2026-07-04 19:54:55+00:00,1.1875,0.3356764398402972,33.56764398402972,0.0012415360024709,0.12415360024708377
BTC,20260705_161652,2026-07-05 16:16:52+00:00,14.0,0.1,0.3405211071414594,0.3443097174167633,-0.0037886102753039,34.05211071414594,34.430973052978516,-0.3788610275303916,0.1132409369469684,1,2026-07-05 17:29:17+00:00,1.2069444444444444,0.3342717310772554,33.427173107725544,-0.006249376064204004,-0.6249376064203958
BTC,20260705_172917,2026-07-05 17:29:17+00:00,14.0,0.1,0.3342717310772554,0.3403733670711517,-0.0061016359938962,33.427173107725544,34.03733825683594,-0.6101635993896293,0.152819533121303,1,2026-07-05 18:37:27+00:00,1.136111111111111,0.3356207795272073,33.562077952720735,0.0013490484499519284,0.13490484499519084
BTC,20260705_183727,2026-07-05 18:37:27+00:00,14.0,0.1,0.3356207795272073,0.3398188948631286,-0.0041981153359213,33.562077952720735,33.98188781738281,-0.4198115335921348,0.1280934870318533,1,2026-07-05 19:37:27+00:00,1.0,0.3352571781306551,33.52571781306551,-0.0003636013965522267,-0.03636013965522267
BTC,20260706_001236,2026-07-06 00:12:36+00:00,14.0,0.1,0.3290524484443163,0.3290429711341858,9.47731013051234e-06,32.90524484443163,32.904296875,0.0009477310130512,0.1799175176013283,1,2026-07-06 01:29:43+00:00,1.2852777777777777,0.3270253998440866,32.70253998440866,-0.0020270486002297305,-0.20270486002296906
