currency,mask_rate,method,rmse_vol_points
BTC,0.5,row_mean,6.715177902427167
BTC,0.5,previous_surface,0.12385236996972752
BTC,0.5,quadratic_smile,1.0951699512948652
BTC,0.5,cell_mean,0.8594652113744701
BTC,0.5,row_mean,7.039535428878237
BTC,0.5,previous_surface,0.4565528528632019
BTC,0.5,quadratic_smile,0.9008664656377526
BTC,0.5,cell_mean,0.34107534677578993
BTC,0.5,row_mean,5.841982049588731
BTC,0.5,previous_surface,0.6957373907760424
BTC,0.5,quadratic_smile,1.8086952375693048
ETH,0.1,cell_mean,0.5560208369737696
ETH,0.1,row_mean,2.6353691227938114
ETH,0.1,previous_surface,0.16682117612524391
ETH,0.1,quadratic_smile,0.714288037667512
ETH,0.1,cell_mean,0.30343153553219243
ETH,0.1,row_mean,5.4335415827454145
ETH,0.1,previous_surface,0.322784380397891
ETH,0.1,quadratic_smile,1.2166794783221384
ETH,0.1,cell_mean,0.6045733171259954
ETH,0.1,row_mean,5.310707111566055
ETH,0.1,previous_surface,0.2763008583649487
ETH,0.1,quadratic_smile,1.1392996004158782
ETH,0.1,cell_mean,0.5658848721119566
ETH,0.1,row_mean,2.6219644662735275
ETH,0.1,previous_surface,0.277392175940288
ETH,0.1,quadratic_smile,1.6368071211625743
ETH,0.1,cell_mean,0.4191637782057727
ETH,0.1,row_mean,2.994921115736729
ETH,0.1,previous_surface,0.10039699867198466
ETH,0.1,quadratic_smile,1.3605984174915133
ETH,0.1,cell_mean,0.5216127500248994
ETH,0.1,row_mean,6.137759299459182
ETH,0.1,previous_surface,0.11870244190202196
ETH,0.1,quadratic_smile,2.143968016668986
ETH,0.1,cell_mean,0.6648405525528505
ETH,0.1,row_mean,5.910580137236471
ETH,0.1,previous_surface,0.1753670494431626
ETH,0.1,quadratic_smile,1.933893880940715
ETH,0.1,cell_mean,0.6776472600200182
ETH,0.1,row_mean,2.8729224398154583
ETH,0.1,previous_surface,0.05487436885921619
ETH,0.1,quadratic_smile,1.185390431206364
ETH,0.1,cell_mean,0.32688730120211335
ETH,0.1,row_mean,6.085728888960962
ETH,0.1,previous_surface,0.23445740640307058
ETH,0.1,quadratic_smile,1.871892420278258
ETH,0.1,cell_mean,0.29005590014576665
ETH,0.1,row_mean,6.676645480975282
ETH,0.1,previous_surface,0.6725271632146288
ETH,0.1,quadratic_smile,1.4316121000953337
ETH,0.1,cell_mean,0.6462695732736368
ETH,0.1,row_mean,2.6635318375680694
