currency,horizon_hours,tenor,delta,alpha,beta_on_residual,beta_t_stat,r2,n
BTC,1,14.0,0.1,-0.10089967827157077,-0.16868457408824836,-0.6183423508530412,0.009708595079579219,41
BTC,1,14.0,0.2,-0.06784615935098366,-0.02003405332908203,-0.04817751194940475,5.9511141742185636e-05,41
BTC,1,14.0,0.3,-0.047949688469349,0.24905468738591252,0.4871654919207435,0.006048582184586704,41
BTC,1,14.0,0.5,-0.06019123408192369,-0.07401089508307751,-0.1800407241817702,0.0008304549601731992,41
BTC,1,14.0,0.7,-0.04795195301377739,-0.4276543784214288,-1.1480700714058192,0.03269167040856713,41
BTC,1,14.0,0.8,-0.04218205610563796,-0.16349312600063837,-0.5616900734397466,0.008024717294636163,41
BTC,1,14.0,0.9,0.014047068759419535,-0.3688852770489792,-1.2049619589625278,0.03589280420714891,41
BTC,1,30.0,0.1,-0.08093120884569786,0.13792707120736075,0.5396449921548394,0.007411751070250161,41
BTC,1,30.0,0.2,-0.057647078510668366,0.6389271649749667,1.988312601567017,0.09203900501274853,41
BTC,1,30.0,0.3,-0.030379229077295965,0.35408884990996653,0.9242951909815633,0.021436109454943453,41
BTC,1,30.0,0.5,-0.02401023218480497,0.37501494792832835,1.0256202308357287,0.026263346818043654,41
BTC,1,30.0,0.7,-0.048620236054826266,-0.33309032928177873,-0.7334430632115929,0.013605634089523422,41
BTC,1,30.0,0.8,-0.026087668545417286,0.057192064494223524,0.16989650993886524,0.0007395763166443414,41
BTC,1,30.0,0.9,0.0014630732627139056,-0.3115675342399647,-0.9072825819732416,0.020670425168477502,41
BTC,1,60.0,0.1,-0.04054695871248531,0.1538491731948124,0.4946742121221057,0.006235302093674067,41
BTC,1,60.0,0.2,-0.029527271207763835,0.11874742628843826,0.43190873640867117,0.004760438968036462,41
BTC,1,60.0,0.3,-0.010039240555480774,0.3538071222770078,1.2477252045938607,0.038386102653125365,41
BTC,1,60.0,0.5,-0.027315147643451505,-0.16362558274120775,-0.5371281804369344,0.0073432845018277515,41
BTC,1,60.0,0.7,-0.0428301242453809,-0.5117023046112378,-1.517012544791598,0.05572041444704845,41
BTC,1,60.0,0.8,-0.04743384060316009,-0.4071639825171777,-1.2515144386202492,0.03861059150923374,41
BTC,1,60.0,0.9,-0.010105595257003204,-0.8364877507885761,-2.2856685416934006,0.11813150156121555,41
BTC,1,90.0,0.1,-0.07771596638077125,-0.36233035307616723,-1.5166428696027519,0.05569477344819007,41
BTC,1,90.0,0.2,-0.020890910738120515,0.1457350841215345,0.6901664276970044,0.012066210348454565,41
BTC,1,90.0,0.3,-0.02233693605044913,0.008216485775802182,0.025947655323164193,1.726331265916592e-05,41
BTC,1,90.0,0.5,-0.014659173746509921,0.2316087985386446,0.6650541340201417,0.011213773912915781,41
BTC,1,90.0,0.7,-0.0053464939676913315,0.21765439151794697,0.5244821407746537,0.007003970593404185,41
BTC,1,90.0,0.8,-0.0042262106297242955,0.01635000169182127,0.04546248551266037,5.2993027205405774e-05,41
BTC,1,90.0,0.9,-0.009130481020043492,-0.1944126243629474,-0.65850331107691,0.010996366501619392,41
BTC,1,120.0,0.1,-0.049889548785482976,-0.18649123358677705,-0.6563909790275619,0.01092670147849284,41
BTC,1,120.0,0.2,-0.008513492365995155,0.4806765045814877,1.508672020362031,0.05514309120040106,41
BTC,1,120.0,0.3,-0.017226939183010763,0.23234450524096545,0.6086907430745102,0.009410710534603961,41
BTC,1,120.0,0.5,-0.01785269974106208,0.3573634425297225,0.9304913179110629,0.021718209258047905,41
BTC,1,120.0,0.7,-0.01387586779654629,0.6059833071253199,1.1250627507602422,0.031435293869152336,41
BTC,1,120.0,0.8,-0.027594874755068,0.6759616631817654,1.4347923972856318,0.05013877136794387,41
BTC,1,120.0,0.9,-0.0001668076616811439,0.5416956118171827,1.599824981907926,0.06158504480367655,41
BTC,1,180.0,0.1,-0.02796146031676905,-0.06624025638998267,-0.17212523431654092,0.0007590924764776519,41
BTC,1,180.0,0.2,-0.017761721563700237,0.23799186174256595,0.7772036810555173,0.015252117637905238,41
BTC,1,180.0,0.3,-0.015977589525863367,0.15937575433127055,0.6175691923589536,0.009684566512658366,41
BTC,1,180.0,0.5,-0.01170011760315609,-0.04543350349954544,-0.2165692040872928,0.0012011764696352456,41
BTC,1,180.0,0.7,-0.004561439236722194,-0.13504871083594405,-0.45806466290886777,0.0053512925612054785,41
BTC,1,180.0,0.8,-0.016131554157626984,0.176202556560949,0.7253784562609905,0.013312037387549602,41
BTC,1,180.0,0.9,-0.010321805218290275,0.06748054583696078,0.372521058910616,0.003545638569012688,41
BTC,3,14.0,0.1,-0.14857613789040539,0.39992908270037797,0.7696893064006142,0.019364979849706865,32
BTC,3,14.0,0.2,-0.15314911656492297,0.12481883261778344,0.1051030174832438,0.000368085938988183,32
BTC,3,14.0,0.3,-0.16305282050932357,-0.013011065113625176,-0.011283096697628012,4.243591028019189e-06,32
BTC,3,14.0,0.5,-0.17172455884852228,-0.895783821480101,-1.0816068160094747,0.037532180288701644,32
