currency,horizon_hours,mean_pnl_vol_points,std_pnl_vol_points,t_stat,hit_rate,n_periods,avg_trades_per_period
BTC,1,0.017160843670488368,0.12114390525082985,0.9070453343384143,0.6097560975609756,41,18.0
BTC,3,0.01335643764061145,0.2707376245823501,0.27907248259981393,0.53125,32,18.0
BTC,6,-0.013257854486506881,0.44314803772220995,-0.13379485564240903,0.4,20,18.0
BTC,12,0.10013398505161283,0.32699623984703313,1.5311182950980553,0.6,25,18.0
BTC,24,-0.00742662725992319,0.17338908908531128,-0.2569928926589766,0.5277777777777778,36,18.0
ETH,1,0.05110876139214516,0.09852668406551929,3.3214935823638903,0.8536585365853658,41,18.0
ETH,3,0.07684563051761098,0.1639167675123287,2.6519833092473197,0.71875,32,18.0
ETH,6,0.0815564063331137,0.2708606589952546,1.3465644603975628,0.6,20,18.0
ETH,12,0.13607254645809932,0.20824862751426318,3.267069466010756,0.76,25,18.0
ETH,24,0.07320404062748777,0.37257643021409587,1.17888360117824,0.5,36,18.0
