expiry,actual_tenor,target_delta,iv,currency,snapshot_timestamp_utc
2026-07-09 00:00:00+00:00,1.1757361435416667,0.1,0.3407371577101682,BTC,20260707_194656
2026-07-09 00:00:00+00:00,1.1757361435416667,0.2,0.3391634062079226,BTC,20260707_194656
2026-07-09 00:00:00+00:00,1.1757361435416667,0.3,0.3405995255447861,BTC,20260707_194656
2026-07-09 00:00:00+00:00,1.1757361435416667,0.5,0.348777164026568,BTC,20260707_194656
2026-07-09 00:00:00+00:00,1.1757361435416667,0.7,0.36663930549040147,BTC,20260707_194656
2026-07-09 00:00:00+00:00,1.1757361435416667,0.8,0.3840040338006067,BTC,20260707_194656
2026-07-09 00:00:00+00:00,1.1757361435416667,0.9,0.4025873852453537,BTC,20260707_194656
2026-07-10 00:00:00+00:00,2.1757361435416667,0.1,0.3471286213830178,BTC,20260707_194656
2026-07-10 00:00:00+00:00,2.1757361435416667,0.2,0.34329159002860815,BTC,20260707_194656
2026-07-10 00:00:00+00:00,2.1757361435416667,0.3,0.3442485578464243,BTC,20260707_194656
2026-07-10 00:00:00+00:00,2.1757361435416667,0.5,0.3552965380355952,BTC,20260707_194656
2026-07-10 00:00:00+00:00,2.1757361435416667,0.7,0.37914210024246314,BTC,20260707_194656
2026-07-10 00:00:00+00:00,2.1757361435416667,0.8,0.39664805106021855,BTC,20260707_194656
2026-07-10 00:00:00+00:00,2.1757361435416667,0.9,0.42865649445426396,BTC,20260707_194656
2026-07-11 00:00:00+00:00,3.1757361435416667,0.1,0.3361185582187604,BTC,20260707_194656
2026-07-11 00:00:00+00:00,3.1757361435416667,0.2,0.3362,BTC,20260707_194656
2026-07-11 00:00:00+00:00,3.1757361435416667,0.3,0.33815232026482894,BTC,20260707_194656
2026-07-11 00:00:00+00:00,3.1757361435416667,0.5,0.3512703977075555,BTC,20260707_194656
2026-07-11 00:00:00+00:00,3.1757361435416667,0.7,0.374438787543419,BTC,20260707_194656
2026-07-11 00:00:00+00:00,3.1757361435416667,0.8,0.3914392148615722,BTC,20260707_194656
2026-07-11 00:00:00+00:00,3.1757361435416667,0.9,0.42327091602174555,BTC,20260707_194656
2026-07-17 00:00:00+00:00,9.175736143541666,0.1,0.328967037018632,BTC,20260707_194656
