expiry,actual_tenor,target_delta,iv,currency,snapshot_timestamp_utc
2026-07-07 00:00:00+00:00,0.3105881285185185,0.1,0.3761544047507987,BTC,20260706_163245
2026-07-07 00:00:00+00:00,0.3105881285185185,0.2,0.3665480161793257,BTC,20260706_163245
2026-07-07 00:00:00+00:00,0.3105881285185185,0.3,0.3650887577222174,BTC,20260706_163245
2026-07-07 00:00:00+00:00,0.3105881285185185,0.5,0.37035563973750263,BTC,20260706_163245
2026-07-07 00:00:00+00:00,0.3105881285185185,0.7,0.38094873081876,BTC,20260706_163245
2026-07-07 00:00:00+00:00,0.3105881285185185,0.8,0.3870706051918944,BTC,20260706_163245
2026-07-07 00:00:00+00:00,0.3105881285185185,0.9,0.40027282925065916,BTC,20260706_163245
2026-07-08 00:00:00+00:00,1.3105881285185186,0.1,0.3716610149050552,BTC,20260706_163245
2026-07-08 00:00:00+00:00,1.3105881285185186,0.2,0.36128970317535186,BTC,20260706_163245
2026-07-08 00:00:00+00:00,1.3105881285185186,0.3,0.35793124267513615,BTC,20260706_163245
2026-07-08 00:00:00+00:00,1.3105881285185186,0.5,0.3645208661734746,BTC,20260706_163245
2026-07-08 00:00:00+00:00,1.3105881285185186,0.7,0.3777006420572457,BTC,20260706_163245
2026-07-08 00:00:00+00:00,1.3105881285185186,0.8,0.3925386800416186,BTC,20260706_163245
2026-07-08 00:00:00+00:00,1.3105881285185186,0.9,0.41712060738762147,BTC,20260706_163245
2026-07-09 00:00:00+00:00,2.3105881285185186,0.1,0.3789397330684737,BTC,20260706_163245
2026-07-09 00:00:00+00:00,2.3105881285185186,0.2,0.3656538082331474,BTC,20260706_163245
2026-07-09 00:00:00+00:00,2.3105881285185186,0.3,0.36519299414290224,BTC,20260706_163245
2026-07-09 00:00:00+00:00,2.3105881285185186,0.5,0.37432285803680604,BTC,20260706_163245
2026-07-09 00:00:00+00:00,2.3105881285185186,0.7,0.3947006384223693,BTC,20260706_163245
2026-07-09 00:00:00+00:00,2.3105881285185186,0.8,0.41264138434019837,BTC,20260706_163245
2026-07-09 00:00:00+00:00,2.3105881285185186,0.9,0.4443906881528013,BTC,20260706_163245
2026-07-10 00:00:00+00:00,3.3105881285185186,0.1,0.3679342247192044,BTC,20260706_163245
2026-07-10 00:00:00+00:00,3.3105881285185186,0.2,0.35973342558144206,BTC,20260706_163245
2026-07-10 00:00:00+00:00,3.3105881285185186,0.3,0.35949078770511145,BTC,20260706_163245
2026-07-10 00:00:00+00:00,3.3105881285185186,0.5,0.37367306979517423,BTC,20260706_163245
2026-07-10 00:00:00+00:00,3.3105881285185186,0.7,0.40064253532604654,BTC,20260706_163245
2026-07-10 00:00:00+00:00,3.3105881285185186,0.8,0.4240190665346178,BTC,20260706_163245
2026-07-10 00:00:00+00:00,3.3105881285185186,0.9,0.46122018336998566,BTC,20260706_163245
2026-07-17 00:00:00+00:00,10.310588128518518,0.1,0.3325035503830445,BTC,20260706_163245
2026-07-17 00:00:00+00:00,10.310588128518518,0.2,0.3298040690836445,BTC,20260706_163245
2026-07-17 00:00:00+00:00,10.310588128518518,0.3,0.33334497271321173,BTC,20260706_163245
2026-07-17 00:00:00+00:00,10.310588128518518,0.5,0.3517969159979599,BTC,20260706_163245
2026-07-17 00:00:00+00:00,10.310588128518518,0.7,0.3851808254244521,BTC,20260706_163245
